Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",168,262,430,124,192,316,3,16,19
"I1R",168,262,430,124,192,316,3,16,19
"I2L",145,2,147,104,2,106,1,0,1
"I2R",145,2,147,104,2,106,1,0,1
"I3",173,249,422,123,181,304,6,15,21
"I4",154,248,402,106,180,286,6,15,21
"I5",172,256,428,124,188,312,8,19,27
"I6",155,2,157,107,2,109,7,0,7
"M1",149,263,412,103,195,298,6,19,25
"M2L",202,19,221,147,14,161,8,0,8
"M2R",202,19,221,147,14,161,8,0,8
"M3L",155,38,193,107,33,140,7,3,10
"M3R",155,38,193,107,33,140,7,3,10
"M4",192,7,199,139,6,145,8,0,8
"M5",148,248,396,100,180,280,6,15,21
"MCL",93,24,117,73,18,91,4,0,4
"MCR",93,24,117,73,18,91,4,0,4
"MI",164,51,215,114,44,158,7,9,16
"NSML",196,35,231,145,29,174,8,0,8
"NSMR",196,35,231,145,29,174,8,0,8
"ADFL",105,255,360,86,187,273,84,170,254
"ADFR",105,255,360,86,187,273,84,170,254
"ADLL",155,93,248,107,79,186,83,69,152
"ADLR",155,93,248,107,79,186,83,69,152
"ASEL",164,35,199,114,32,146,106,23,129
"ASER",155,97,252,107,85,192,99,72,171
"ASGL",191,267,458,139,199,338,131,180,311
"ASGR",191,267,458,139,199,338,131,180,311
"ASHL",197,141,338,144,112,256,135,102,237
"ASHR",197,141,338,144,112,256,135,102,237
"ASIL",155,97,252,107,73,180,99,69,168
"ASIR",155,97,252,107,73,180,99,69,168
"ASJL",106,163,269,81,118,199,78,105,183
"ASJR",106,163,269,81,118,199,78,105,183
"ASKL",154,256,410,106,188,294,98,173,271
"ASKR",154,256,410,106,188,294,98,173,271
"AWAL",185,229,414,135,167,302,127,149,276
"AWAR",185,229,414,135,167,302,127,149,276
"AWBL",181,139,320,133,112,245,123,101,224
"AWBR",181,139,320,133,112,245,123,101,224
"AWCL",155,124,279,107,97,204,99,91,190
"AWCR",155,124,279,107,97,204,99,91,190
"AFDL",143,65,208,100,59,159,99,57,156
"AFDR",143,65,208,100,59,159,99,57,156
"IL2DL",155,7,162,107,6,113,83,6,89
"IL2DR",155,7,162,107,6,113,83,6,89
"IL2L",186,160,346,138,129,267,112,109,221
"IL2R",186,160,346,138,129,267,112,109,221
"IL2VL",155,7,162,107,6,113,83,6,89
"IL2VR",155,7,162,107,6,113,83,6,89
"OLQDL",205,5,210,152,4,156,125,4,129
"OLQDR",205,5,210,152,4,156,125,4,129
"OLQVL",205,5,210,152,4,156,125,4,129
"OLQVR",205,5,210,152,4,156,125,4,129
"OLLL",112,62,174,73,57,130,58,54,112
"OLLR",112,62,174,73,57,130,58,54,112
"CEPDL",164,2,166,114,2,116,90,2,92
"CEPDR",164,2,166,114,2,116,90,2,92
"CEPVL",164,2,166,114,2,116,90,2,92
"CEPVR",164,2,166,114,2,116,90,2,92
"ALML",163,265,428,113,200,313,89,161,250
"ALMR",163,265,428,113,200,313,89,161,250
"AVM",186,262,448,184,256,440,171,234,405
"PVM",218,277,495,106,136,242,91,107,198
"PLML",163,264,427,103,142,245,86,107,193
"PLMR",163,264,427,103,142,245,86,107,193
"ALNL",18,0,18,18,0,18,15,0,15
"ALNR",18,0,18,18,0,18,15,0,15
"PLNL",128,38,166,128,38,166,125,33,158
"PLNR",128,38,166,128,38,166,125,33,158
"FLPL",180,78,258,132,68,200,122,66,188
"FLPR",180,78,258,132,68,200,122,66,188
"PVDL",180,257,437,100,138,238,89,107,196
"PVDR",180,257,437,100,138,238,89,107,196
"BAGL",202,180,382,149,133,282,122,108,230
"BAGR",202,180,382,149,133,282,122,108,230
"URXL",236,280,516,183,210,393,150,169,319
"URXR",236,280,516,183,210,393,150,169,319
"URYDL",144,0,144,102,0,102,82,0,82
"URYDR",144,0,144,102,0,102,82,0,82
"URYVL",144,0,144,102,0,102,82,0,82
"URYVR",144,0,144,102,0,102,82,0,82
"AQR",214,265,479,163,195,358,150,177,327
"PQR",219,277,496,112,144,256,93,117,210
"ADEL",184,7,191,136,6,142,110,6,116
"ADER",184,7,191,136,6,142,110,6,116
"PDEL",126,7,133,67,3,70,50,3,53
"PDER",126,7,133,67,3,70,50,3,53
"PHAL",174,2,176,35,2,37,28,2,30
"PHAR",174,2,176,35,2,37,28,2,30
"PHBL",155,21,176,31,12,43,24,10,34
"PHBR",155,21,176,31,12,43,24,10,34
"PHCL",14,2,16,6,2,8,6,2,8
"PHCR",14,2,16,6,2,8,6,2,8
"SDQL",174,266,440,174,260,434,100,159,259
"SDQR",174,266,440,174,260,434,100,159,259
"URBL",195,278,473,142,210,352,113,169,282
"URBR",195,278,473,142,210,352,113,169,282
"DVA",200,278,478,200,278,478,191,256,447
"AUAL",213,106,319,162,84,246,148,74,222
"AUAR",213,106,319,162,84,246,148,74,222
"AIAL",187,24,211,139,18,157,129,18,147
"AIAR",187,24,211,139,18,157,129,18,147
"AIBL",0,264,264,0,196,196,0,177,177
"AIBR",0,264,264,0,196,196,0,177,177
"AIYL",213,271,484,160,203,363,149,184,333
"AIYR",213,271,484,160,203,363,149,184,333
"AIZL",157,273,430,107,205,312,99,184,283
"AIZR",157,273,430,107,205,312,99,184,283
"ADAL",173,150,323,125,110,235,99,89,188
"ADAR",173,150,323,125,110,235,99,89,188
"AIML",173,271,444,123,203,326,99,162,261
"AIMR",173,271,444,123,203,326,99,162,261
"AINL",63,175,238,56,124,180,54,111,165
"AINR",63,175,238,56,124,180,54,111,165
"ALA",197,263,460,197,263,460,151,200,351
"BDUL",186,262,448,184,256,440,128,177,305
"BDUR",186,262,448,184,256,440,128,177,305
"CANL",172,269,441,107,140,247,5,5,10
"CANR",172,269,441,107,140,247,5,5,10
"RIPL",155,4,159,107,2,109,90,2,92
"RIPR",155,4,159,107,2,109,90,2,92
"RIAL",0,263,263,0,198,198,0,179,179
"RIAR",0,263,263,0,198,198,0,179,179
"RIBL",172,265,437,124,198,322,114,179,293
"RIBR",172,265,437,124,198,322,114,179,293
"RICL",154,266,420,106,198,304,98,179,277
"RICR",154,266,420,106,198,304,98,179,277
"RIFL",155,36,191,107,32,139,99,23,122
"RIFR",155,36,191,107,32,139,99,23,122
"RIGL",190,257,447,137,189,326,129,170,299
"RIGR",190,257,447,137,189,326,129,170,299
"RIH",199,274,473,144,206,350,118,165,283
"RIR",185,258,443,131,190,321,107,154,261
"RIS",175,127,302,123,96,219,115,93,208
"RMGL",196,130,326,147,103,250,136,93,229
"RMGR",196,130,326,147,103,250,136,93,229
"AVFL",134,272,406,134,272,406,134,252,386
"AVFR",134,272,406,134,272,406,134,252,386
"AVG",159,37,196,159,37,196,119,25,144
"AVHL",175,150,325,175,150,325,164,139,303
"AVHR",175,150,325,175,150,325,164,139,303
"AVJL",167,35,202,167,35,202,158,26,184
"AVJR",167,35,202,167,35,202,158,26,184
"AVKL",274,267,541,274,267,541,252,247,499
"AVKR",274,267,541,274,267,541,252,247,499
"AVL",204,77,281,204,75,279,193,74,267
"DVB",103,105,208,61,49,110,50,44,94
"DVC",129,0,129,129,0,129,126,0,126
"PVNL",194,232,426,194,232,426,185,215,400
"PVNR",194,232,426,194,232,426,185,215,400
"PVPL",154,266,420,154,266,420,145,244,389
"PVPR",154,266,420,154,266,420,145,244,389
"PVQL",163,278,441,163,278,441,154,257,411
"PVQR",163,278,441,163,278,441,154,257,411
"PVR",198,282,480,198,282,480,187,260,447
"PVT",154,270,424,154,270,424,145,250,395
"PVWL",185,253,438,105,140,245,92,113,205
"PVWR",185,253,438,105,140,245,92,113,205
"RID",154,268,422,154,262,416,123,210,333
"PVCL",200,270,470,200,270,470,187,248,435
"PVCR",200,270,470,200,270,470,187,248,435
"AVAL",190,260,450,190,254,444,179,232,411
"AVAR",190,260,450,190,254,444,179,232,411
"AVBL",207,260,467,207,254,461,194,232,426
"AVBR",207,260,467,207,254,461,194,232,426
"AVDL",144,276,420,144,268,412,131,246,377
"AVDR",144,276,420,144,268,412,131,246,377
"AVEL",168,262,430,168,256,424,165,236,401
"AVER",168,262,430,168,256,424,165,236,401
"LUAL",199,40,239,36,8,44,29,4,33
"LUAR",199,40,239,36,8,44,29,4,33
"SAADL",188,37,225,140,32,172,114,27,141
"SAADR",188,37,225,140,32,172,114,27,141
"SAAVL",188,37,225,188,37,225,130,29,159
"SAAVR",188,37,225,188,37,225,130,29,159
"SABD",190,271,461,137,206,343,93,118,211
"SABVL",190,271,461,137,206,343,93,116,209
"SABVR",190,271,461,137,206,343,93,116,209
"RIML",200,265,465,147,198,345,139,179,318
"RIMR",200,265,465,147,198,345,139,179,318
"IL1DL",186,0,186,137,0,137,108,0,108
"IL1DR",186,0,186,137,0,137,108,0,108
"IL1L",186,0,186,137,0,137,108,0,108
"IL1R",186,0,186,137,0,137,108,0,108
"IL1VL",186,0,186,137,0,137,108,0,108
"IL1VR",186,0,186,137,0,137,108,0,108
"SIADL",193,66,259,193,66,259,117,40,157
"SIADR",193,66,259,193,66,259,117,40,157
"SIAVL",193,66,259,193,66,259,133,46,179
"SIAVR",193,66,259,193,66,259,133,46,179
"SIBDL",195,2,197,195,2,197,134,2,136
"SIBDR",195,2,197,195,2,197,134,2,136
"SIBVL",195,2,197,195,2,197,118,2,120
"SIBVR",195,2,197,195,2,197,117,2,119
"RMDDL",154,266,420,106,198,304,98,179,277
"RMDDR",154,266,420,106,198,304,98,179,277
"RMDL",202,248,450,149,180,329,122,146,268
"RMDR",202,248,450,149,180,329,122,146,268
"RMDVL",154,266,420,106,198,304,82,159,241
"RMDVR",154,266,420,106,198,304,82,159,241
"RMED",154,263,417,154,257,411,111,196,307
"RMEL",0,22,22,0,16,16,0,14,14
"RMER",0,22,22,0,16,16,0,14,14
"RMEV",154,263,417,154,257,411,143,235,378
"RMFL",202,248,450,149,186,335,122,152,274
"RMFR",202,248,450,149,186,335,122,152,274
"RMHL",176,264,440,127,199,326,102,160,262
"RMHR",176,264,440,127,199,326,102,160,262
"RIVL",195,52,247,142,41,183,116,40,156
"RIVR",195,52,247,142,41,183,116,40,156
"SMBDL",154,50,204,154,48,202,82,33,115
"SMBDR",154,50,204,154,48,202,82,33,115
"SMBVL",154,50,204,154,48,202,98,35,133
"SMBVR",154,50,204,154,48,202,98,35,133
"SMDDL",154,266,420,154,260,414,82,159,241
"SMDDR",154,266,420,154,260,414,82,159,241
"SMDVL",154,266,420,154,260,414,98,179,277
"SMDVR",154,266,420,154,260,414,98,179,277
"URADL",52,149,201,41,104,145,34,84,118
"URADR",52,149,201,41,104,145,34,84,118
"URAVL",52,149,201,41,104,145,34,84,118
"URAVR",52,149,201,41,104,145,34,84,118
"DA01",148,274,422,148,268,416,119,176,295
"DA02",148,274,422,148,268,416,119,176,295
"DA03",148,274,422,148,268,416,119,176,295
"DA04",148,274,422,148,268,416,119,176,295
"DA05",148,274,422,97,139,236,87,115,202
"DA06",148,274,422,97,139,236,87,115,202
"DA07",148,274,422,97,139,236,87,115,202
"DA08",148,274,422,97,145,242,87,121,208
"DA09",203,274,477,117,145,262,99,121,220
"PDA",200,254,454,116,139,255,53,69,122
"DB01",194,274,468,194,268,462,151,178,329
"DB02",194,268,462,194,262,456,98,115,213
"DB03",194,268,462,112,139,251,98,115,213
"DB04",194,268,462,112,139,251,98,115,213
"DB05",194,268,462,112,139,251,98,115,213
"DB06",194,268,462,112,139,251,98,115,213
"DB07",194,268,462,112,139,251,98,115,213
"AS01",0,267,267,0,261,261,0,173,173
"AS02",0,267,267,0,261,261,0,173,173
"AS03",0,267,267,0,134,134,0,110,110
"AS04",0,267,267,0,134,134,0,110,110
"AS05",0,267,267,0,134,134,0,110,110
"AS06",0,267,267,0,134,134,0,110,110
"AS07",0,267,267,0,134,134,0,110,110
"AS08",0,267,267,0,134,134,0,110,110
"AS09",0,267,267,0,134,134,0,110,110
"AS10",0,267,267,0,134,134,0,110,110
"AS11",0,267,267,0,140,140,0,116,116
"PDB",154,278,432,99,145,244,50,71,121
"DD01",169,2,171,169,2,171,130,2,132
"DD02",169,2,171,102,2,104,92,2,94
"DD03",169,2,171,102,2,104,92,2,94
"DD04",169,2,171,102,2,104,92,2,94
"DD05",169,2,171,102,2,104,92,2,94
"DD06",169,2,171,102,2,104,92,2,94
"VA01",154,262,416,154,256,410,119,164,283
"VA02",154,262,416,154,256,410,119,164,283
"VA03",154,262,416,154,256,410,119,164,283
"VA04",154,262,416,154,256,410,119,164,283
"VA05",154,262,416,99,133,232,84,105,189
"VA06",154,262,416,99,133,232,84,105,189
"VA07",154,262,416,99,133,232,84,105,189
"VA08",154,262,416,99,133,232,84,105,189
"VA09",154,262,416,99,133,232,84,105,189
"VA10",154,262,416,99,133,232,84,105,189
"VA11",154,262,416,99,133,232,84,105,189
"VA12",205,269,474,119,144,263,98,115,213
"VB01",194,271,465,194,265,459,147,173,320
"VB02",194,271,465,194,265,459,147,173,320
"VB03",194,268,462,112,139,251,93,110,203
"VB04",194,268,462,112,139,251,93,110,203
"VB05",194,268,462,112,139,251,93,110,203
"VB06",194,268,462,112,139,251,93,110,203
"VB07",194,268,462,112,139,251,93,110,203
"VB08",194,268,462,112,139,251,93,110,203
"VB09",194,268,462,112,139,251,93,110,203
"VB10",194,268,462,112,139,251,93,110,203
"VB11",194,268,462,112,139,251,93,110,203
"VD01",169,2,171,169,2,171,130,2,132
"VD02",169,2,171,169,2,171,130,2,132
"VD03",169,2,171,102,2,104,92,2,94
"VD04",169,2,171,102,2,104,92,2,94
"VD05",169,2,171,102,2,104,92,2,94
"VD06",169,2,171,102,2,104,92,2,94
"VD07",169,2,171,102,2,104,92,2,94
"VD08",169,2,171,102,2,104,92,2,94
"VD09",169,2,171,102,2,104,92,2,94
"VD10",169,2,171,102,2,104,92,2,94
"VD11",169,2,171,102,2,104,92,2,94
"VD12",169,2,171,102,2,104,92,2,94
"VD13",169,2,171,102,2,104,92,2,94
"HSNL",214,268,482,212,262,474,194,240,434
"HSNR",214,268,482,212,262,474,194,240,434
"VC01",200,66,266,200,66,266,144,45,189
"VC02",200,66,266,200,66,266,144,45,189
"VC03",200,66,266,110,38,148,89,32,121
"VC04",189,92,281,101,51,152,86,39,125
"VC05",189,92,281,101,51,152,86,39,125
"VC06",200,66,266,110,38,148,89,32,121
