Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",150,201,351,11,18,29
"I1R",150,201,351,11,18,29
"I2L",119,36,155,3,6,9
"I2R",119,36,155,3,6,9
"I3",169,86,255,14,12,26
"I4",193,90,283,19,10,29
"I5",179,118,297,14,16,30
"I6",159,55,214,13,7,20
"M1",130,169,299,11,19,30
"M2L",192,28,220,17,10,27
"M2R",192,28,220,17,10,27
"M3L",149,122,271,9,15,24
"M3R",149,122,271,9,15,24
"M4",184,6,190,18,0,18
"M5",163,78,241,17,10,27
"MCL",146,48,194,6,14,20
"MCR",146,48,194,6,14,20
"MI",158,44,202,15,9,24
"NSML",167,143,310,13,4,17
"NSMR",167,143,310,13,4,17
"ADFL",123,199,322,109,179,288
"ADFR",123,199,322,109,179,288
"ADLL",162,191,353,130,157,287
"ADLR",162,191,353,130,157,287
"ASEL",128,125,253,122,112,234
"ASER",166,174,340,156,158,314
"ASGL",165,195,360,159,174,333
"ASGR",165,195,360,159,174,333
"ASHL",191,138,329,178,128,306
"ASHR",191,138,329,178,128,306
"ASIL",139,90,229,133,86,219
"ASIR",139,90,229,133,86,219
"ASJL",116,181,297,108,166,274
"ASJR",116,181,297,108,166,274
"ASKL",172,188,360,161,167,328
"ASKR",172,188,360,161,167,328
"AWAL",160,146,306,153,140,293
"AWAR",160,146,306,153,140,293
"AWBL",159,141,300,149,129,278
"AWBR",159,141,300,149,129,278
"AWCL",117,133,250,111,124,235
"AWCR",117,133,250,111,124,235
"AFDL",50,72,122,45,70,115
"AFDR",50,72,122,45,70,115
"IL2DL",165,151,316,133,113,246
"IL2DR",165,151,316,133,113,246
"IL2L",179,155,334,146,124,270
"IL2R",179,155,334,146,124,270
"IL2VL",165,151,316,133,113,246
"IL2VR",165,151,316,133,113,246
"OLQDL",195,79,274,160,51,211
"OLQDR",195,79,274,160,51,211
"OLQVL",195,79,274,160,51,211
"OLQVR",195,79,274,160,51,211
"OLLL",167,154,321,137,125,262
"OLLR",167,154,321,137,125,262
"CEPDL",115,172,287,95,135,230
"CEPDR",115,172,287,95,135,230
"CEPVL",115,172,287,95,135,230
"CEPVR",115,172,287,95,135,230
"ALML",103,198,301,83,155,238
"ALMR",103,198,301,83,155,238
"AVM",216,260,476,205,236,441
"PVM",112,141,253,91,114,205
"PLML",109,149,258,90,116,206
"PLMR",109,149,258,90,116,206
"ALNL",30,220,250,24,155,179
"ALNR",30,220,250,24,155,179
"PLNL",173,81,254,163,71,234
"PLNR",173,81,254,163,71,234
"FLPL",156,137,293,146,128,274
"FLPR",156,137,293,146,128,274
"PVDL",109,145,254,90,114,204
"PVDR",109,145,254,90,114,204
"BAGL",198,178,376,164,135,299
"BAGR",198,178,376,164,135,299
"URXL",211,212,423,172,169,341
"URXR",211,212,423,172,169,341
"URYDL",147,43,190,119,43,162
"URYDR",147,43,190,119,43,162
"URYVL",147,43,190,119,43,162
"URYVR",147,43,190,119,43,162
"AQR",176,211,387,164,190,354
"PQR",135,152,287,106,128,234
"ADEL",127,72,199,105,65,170
"ADER",127,72,199,105,65,170
"PDEL",117,133,250,90,108,198
"PDER",117,133,250,90,108,198
"PHAL",43,20,63,34,19,53
"PHAR",43,20,63,34,19,53
"PHBL",43,29,72,34,25,59
"PHBR",43,29,72,34,25,59
"PHCL",35,12,47,32,12,44
"PHCR",35,12,47,32,12,44
"SDQL",238,260,498,141,146,287
"SDQR",238,260,498,141,146,287
"URBL",178,212,390,140,169,309
"URBR",178,212,390,140,169,309
"DVA",266,283,549,254,261,515
"AUAL",182,117,299,166,107,273
"AUAR",182,117,299,166,107,273
"AIAL",176,171,347,169,162,331
"AIAR",176,171,347,169,162,331
"AIBL",64,152,216,57,136,193
"AIBR",64,152,216,57,136,193
"AIYL",195,134,329,185,116,301
"AIYR",195,134,329,185,116,301
"AIZL",88,183,271,83,162,245
"AIZR",88,183,271,83,162,245
"ADAL",196,181,377,164,139,303
"ADAR",196,181,377,164,139,303
"AIML",146,201,347,117,159,276
"AIMR",146,201,347,117,159,276
"AINL",117,189,306,111,168,279
"AINR",117,189,306,111,168,279
"ALA",253,285,538,196,215,411
"BDUL",251,254,505,176,173,349
"BDUR",251,254,505,176,173,349
"CANL",110,124,234,4,2,6
"CANR",110,124,234,4,2,6
"RIPL",156,139,295,133,120,253
"RIPR",156,139,295,133,120,253
"RIAL",0,202,202,0,181,181
"RIAR",0,202,202,0,181,181
"RIBL",150,194,344,144,173,317
"RIBR",150,194,344,144,173,317
"RICL",118,212,330,113,191,304
"RICR",118,212,330,113,191,304
"RIFL",165,111,276,158,101,259
"RIFR",165,111,276,158,101,259
"RIGL",122,181,303,120,162,282
"RIGR",122,181,303,120,162,282
"RIH",176,208,384,146,165,311
"RIR",149,168,317,120,130,250
"RIS",171,157,328,158,150,308
"RMGL",147,200,347,135,182,317
"RMGR",147,200,347,135,182,317
"AVFL",52,285,337,47,263,310
"AVFR",52,285,337,47,263,310
"AVG",161,270,431,120,178,298
"AVHL",229,291,520,220,269,489
"AVHR",229,291,520,220,269,489
"AVJL",188,206,394,179,189,368
"AVJR",188,206,394,179,189,368
"AVKL",295,285,580,273,263,536
"AVKR",295,285,580,273,263,536
"AVL",220,67,287,210,65,275
"DVB",11,84,95,8,79,87
"DVC",183,270,453,174,248,422
"PVNL",253,254,507,244,239,483
"PVNR",253,254,507,244,239,483
"PVPL",149,278,427,147,256,403
"PVPR",149,278,427,147,256,403
"PVQL",260,292,552,250,270,520
"PVQR",260,292,552,250,270,520
"PVR",261,289,550,247,267,514
"PVT",256,285,541,249,263,512
"PVWL",131,140,271,104,120,224
"PVWR",131,140,271,104,120,224
"RID",254,275,529,216,224,440
"PVCL",238,284,522,224,262,486
"PVCR",238,284,522,224,262,486
"AVAL",237,268,505,226,244,470
"AVAR",237,268,505,226,244,470
"AVBL",224,257,481,213,233,446
"AVBR",224,257,481,213,233,446
"AVDL",215,270,485,199,246,445
"AVDR",215,270,485,199,246,445
"AVEL",240,241,481,229,222,451
"AVER",240,241,481,229,222,451
"LUAL",44,38,82,33,31,64
"LUAR",44,38,82,33,31,64
"SAADL",180,64,244,151,58,209
"SAADR",180,64,244,151,58,209
"SAAVL",246,70,316,170,60,230
"SAAVR",246,70,316,170,60,230
"SABD",187,201,388,114,113,227
"SABVL",187,201,388,114,111,225
"SABVR",187,201,388,114,111,225
"RIML",177,195,372,167,174,341
"RIMR",177,195,372,167,174,341
"IL1DL",168,19,187,138,17,155
"IL1DR",168,19,187,138,17,155
"IL1L",168,19,187,138,17,155
"IL1R",168,19,187,138,17,155
"IL1VL",168,19,187,138,17,155
"IL1VR",168,19,187,138,17,155
"SIADL",208,246,454,131,144,275
"SIADR",208,246,454,131,144,275
"SIAVL",208,246,454,148,165,313
"SIAVR",208,246,454,148,165,313
"SIBDL",236,190,426,175,117,292
"SIBDR",236,190,426,175,117,292
"SIBVL",236,190,426,158,100,258
"SIBVR",236,190,426,157,99,256
"RMDDL",150,202,352,141,181,322
"RMDDR",150,202,352,141,181,322
"RMDL",187,136,323,160,103,263
"RMDR",187,136,323,160,103,263
"RMDVL",150,202,352,124,159,283
"RMDVR",150,202,352,124,159,283
"RMED",114,254,368,87,191,278
"RMEL",117,73,190,96,56,152
"RMER",117,73,190,96,56,152
"RMEV",114,254,368,112,230,342
"RMFL",180,205,385,154,162,316
"RMFR",180,205,385,154,162,316
"RMHL",176,206,382,142,163,305
"RMHR",176,206,382,142,163,305
"RIVL",185,103,288,156,81,237
"RIVR",185,103,288,156,81,237
"SMBDL",203,181,384,108,92,200
"SMBDR",203,181,384,108,92,200
"SMBVL",203,181,384,130,110,240
"SMBVR",203,181,384,130,110,240
"SMDDL",214,276,490,140,163,303
"SMDDR",214,276,490,140,163,303
"SMDVL",214,276,490,157,185,342
"SMDVR",214,276,490,157,185,342
"URADL",81,142,223,62,104,166
"URADR",81,142,223,62,104,166
"URAVL",81,142,223,62,104,166
"URAVR",81,142,223,62,104,166
"DA01",215,282,497,146,186,332
"DA02",215,282,497,146,186,332
"DA03",215,282,497,146,186,332
"DA04",215,282,497,146,186,332
"DA05",120,147,267,98,123,221
"DA06",120,147,267,98,123,221
"DA07",120,147,267,98,123,221
"DA08",126,155,281,102,131,233
"DA09",135,157,292,111,133,244
"PDA",136,156,292,63,82,145
"DB01",238,278,516,169,186,355
"DB02",238,280,518,104,123,227
"DB03",126,147,273,104,123,227
"DB04",126,147,273,104,123,227
"DB05",126,147,273,104,123,227
"DB06",126,147,273,104,123,227
"DB07",126,147,273,104,123,227
"AS01",214,282,496,159,186,345
"AS02",214,282,496,159,186,345
"AS03",122,147,269,104,123,227
"AS04",122,147,269,104,123,227
"AS05",122,147,269,104,123,227
"AS06",122,147,269,104,123,227
"AS07",122,147,269,104,123,227
"AS08",122,147,269,104,123,227
"AS09",122,147,269,104,123,227
"AS10",122,147,269,104,123,227
"AS11",126,155,281,106,131,237
"PDB",91,153,244,51,81,132
"DD01",215,95,310,146,54,200
"DD02",120,22,142,98,12,110
"DD03",120,22,142,98,12,110
"DD04",120,22,142,98,12,110
"DD05",120,22,142,98,12,110
"DD06",126,22,148,102,12,114
"VA01",244,282,526,165,182,347
"VA02",244,282,526,165,182,347
"VA03",244,282,526,165,182,347
"VA04",244,282,526,165,182,347
"VA05",126,147,273,99,118,217
"VA06",126,147,273,99,118,217
"VA07",126,147,273,99,118,217
"VA08",126,147,273,99,118,217
"VA09",126,147,273,99,118,217
"VA10",126,147,273,99,118,217
"VA11",126,147,273,99,118,217
"VA12",135,155,290,108,126,234
"VB01",214,279,493,155,181,336
"VB02",240,278,518,165,182,347
"VB03",126,147,273,99,118,217
"VB04",126,147,273,99,118,217
"VB05",126,147,273,99,118,217
"VB06",126,147,273,99,118,217
"VB07",126,147,273,99,118,217
"VB08",126,147,273,99,118,217
"VB09",126,147,273,99,118,217
"VB10",126,147,273,99,118,217
"VB11",126,147,273,99,118,217
"VD01",215,95,310,146,54,200
"VD02",215,95,310,146,54,200
"VD03",120,22,142,98,12,110
"VD04",120,22,142,98,12,110
"VD05",120,22,142,98,12,110
"VD06",120,22,142,98,12,110
"VD07",120,22,142,98,12,110
"VD08",120,22,142,98,12,110
"VD09",120,22,142,98,12,110
"VD10",120,22,142,98,12,110
"VD11",120,22,142,98,12,110
"VD12",126,22,148,102,12,114
"VD13",126,22,148,102,12,114
"HSNL",226,279,505,212,255,467
"HSNR",226,279,505,212,255,467
"VC01",230,145,375,148,99,247
"VC02",230,145,375,148,99,247
"VC03",118,67,185,95,55,150
"VC04",80,77,157,72,65,137
"VC05",80,77,157,72,65,137
"VC06",118,67,185,95,55,150
