Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",168,215,383,11,18,29
"I1R",168,215,383,11,18,29
"I2L",143,36,179,5,6,11
"I2R",143,36,179,5,6,11
"I3",183,199,382,14,17,31
"I4",193,198,391,19,17,36
"I5",181,204,385,14,19,33
"I6",175,55,230,15,7,22
"M1",174,215,389,15,21,36
"M2L",192,28,220,17,10,27
"M2R",192,28,220,17,10,27
"M3L",166,144,310,10,19,29
"M3R",166,144,310,10,19,29
"M4",198,8,206,18,0,18
"M5",163,196,359,17,17,34
"MCL",178,48,226,12,14,26
"MCR",178,48,226,12,14,26
"MI",162,44,206,15,9,24
"NSML",190,143,333,16,4,20
"NSMR",190,143,333,16,4,20
"ADFL",123,222,345,109,201,310
"ADFR",123,222,345,109,201,310
"ADLL",178,191,369,144,157,301
"ADLR",178,191,369,144,157,301
"ASEL",169,125,294,159,112,271
"ASER",166,174,340,156,158,314
"ASGL",187,216,403,177,195,372
"ASGR",187,216,403,177,195,372
"ASHL",191,138,329,178,128,306
"ASHR",191,138,329,178,128,306
"ASIL",180,92,272,170,88,258
"ASIR",180,92,272,170,88,258
"ASJL",116,181,297,108,166,274
"ASJR",116,181,297,108,166,274
"ASKL",172,214,386,161,193,354
"ASKR",172,214,386,161,193,354
"AWAL",189,193,382,179,175,354
"AWAR",189,193,382,179,175,354
"AWBL",189,141,330,176,129,305
"AWBR",189,141,330,176,129,305
"AWCL",166,133,299,156,124,280
"AWCR",166,133,299,156,124,280
"AFDL",173,72,245,163,70,233
"AFDR",173,72,245,163,70,233
"IL2DL",167,205,372,135,165,300
"IL2DR",167,205,372,135,165,300
"IL2L",186,155,341,153,124,277
"IL2R",186,155,341,153,124,277
"IL2VL",167,205,372,135,165,300
"IL2VR",167,205,372,135,165,300
"OLQDL",199,196,395,163,158,321
"OLQDR",199,196,395,163,158,321
"OLQVL",199,196,395,163,158,321
"OLQVR",199,196,395,163,158,321
"OLLL",171,154,325,141,125,266
"OLLR",171,154,325,141,125,266
"CEPDL",175,197,372,146,159,305
"CEPDR",175,197,372,146,159,305
"CEPVL",175,197,372,146,159,305
"CEPVR",175,197,372,146,159,305
"ALML",155,206,361,130,163,293
"ALMR",155,206,361,130,163,293
"AVM",251,274,525,235,250,485
"PVM",124,147,271,95,118,213
"PLML",125,153,278,94,118,212
"PLMR",125,153,278,94,118,212
"ALNL",30,233,263,24,168,192
"ALNR",30,233,263,24,168,192
"PLNL",175,81,256,165,71,236
"PLNR",175,81,256,165,71,236
"FLPL",188,137,325,175,128,303
"FLPR",188,137,325,175,128,303
"PVDL",134,160,294,101,125,226
"PVDR",134,160,294,101,125,226
"BAGL",208,216,424,174,173,347
"BAGR",208,216,424,174,173,347
"URXL",212,220,432,173,177,350
"URXR",212,220,432,173,177,350
"URYDL",175,43,218,144,43,187
"URYDR",175,43,218,144,43,187
"URYVL",175,43,218,144,43,187
"URYVR",175,43,218,144,43,187
"AQR",199,216,415,185,195,380
"PQR",135,158,293,106,131,237
"ADEL",172,72,244,144,65,209
"ADER",172,72,244,144,65,209
"PDEL",119,143,262,92,114,206
"PDER",119,143,262,92,114,206
"PHAL",43,24,67,34,21,55
"PHAR",43,24,67,34,21,55
"PHBL",43,34,77,34,27,61
"PHBR",43,34,77,34,27,61
"PHCL",45,12,57,40,12,52
"PHCR",45,12,57,40,12,52
"SDQL",267,277,544,163,163,326
"SDQR",267,277,544,163,163,326
"URBL",201,220,421,162,177,339
"URBR",201,220,421,162,177,339
"DVA",270,295,565,258,273,531
"AUAL",205,117,322,189,107,296
"AUAR",205,117,322,189,107,296
"AIAL",205,171,376,193,162,355
"AIAR",205,171,376,193,162,355
"AIBL",64,213,277,57,192,249
"AIBR",64,213,277,57,192,249
"AIYL",200,216,416,187,195,382
"AIYR",200,216,416,187,195,382
"AIZL",168,213,381,158,192,350
"AIZR",168,213,381,158,192,350
"ADAL",204,221,425,170,179,349
"ADAR",204,221,425,170,179,349
"AIML",191,216,407,157,173,330
"AIMR",191,216,407,157,173,330
"AINL",127,216,343,119,195,314
"AINR",127,216,343,119,195,314
"ALA",255,291,546,196,221,417
"BDUL",277,284,561,197,196,393
"BDUR",277,284,561,197,196,393
"CANL",127,156,283,5,5,10
"CANR",127,156,283,5,5,10
"RIPL",194,209,403,171,187,358
"RIPR",194,209,403,171,187,358
"RIAL",104,210,314,96,189,285
"RIAR",104,210,314,96,189,285
"RIBL",178,206,384,168,185,353
"RIBR",178,206,384,168,185,353
"RICL",163,218,381,153,197,350
"RICR",163,218,381,153,197,350
"RIFL",199,111,310,186,101,287
"RIFR",199,111,310,186,101,287
"RIGL",179,211,390,171,190,361
"RIGR",179,211,390,171,190,361
"RIH",192,214,406,158,171,329
"RIR",178,203,381,146,165,311
"RIS",183,159,342,170,152,322
"RMGL",203,213,416,189,194,383
"RMGR",203,213,416,189,194,383
"AVFL",165,291,456,158,269,427
"AVFR",165,291,456,158,269,427
"AVG",210,286,496,143,192,335
"AVHL",259,301,560,246,279,525
"AVHR",259,301,560,246,279,525
"AVJL",214,289,503,205,267,472
"AVJR",214,289,503,205,267,472
"AVKL",301,294,595,279,272,551
"AVKR",301,294,595,279,272,551
"AVL",241,92,333,228,90,318
"DVB",111,84,195,87,79,166
"DVC",210,284,494,201,262,463
"PVNL",270,281,551,258,259,517
"PVNR",270,281,551,258,259,517
"PVPL",225,288,513,214,266,480
"PVPR",225,288,513,214,266,480
"PVQL",284,297,581,271,275,546
"PVQR",284,297,581,271,275,546
"PVR",271,297,568,257,275,532
"PVT",283,294,577,269,272,541
"PVWL",137,158,295,108,131,239
"PVWR",137,158,295,108,131,239
"RID",268,287,555,227,233,460
"PVCL",251,297,548,237,275,512
"PVCR",251,297,548,237,275,512
"AVAL",263,282,545,248,258,506
"AVAR",263,282,545,248,258,506
"AVBL",252,277,529,238,253,491
"AVBR",252,277,529,238,253,491
"AVDL",238,287,525,222,263,485
"AVDR",238,287,525,222,263,485
"AVEL",264,285,549,247,261,508
"AVER",264,285,549,247,261,508
"LUAL",44,51,95,33,40,73
"LUAR",44,51,95,33,40,73
"SAADL",198,112,310,165,95,260
"SAADR",198,112,310,165,95,260
"SAAVL",264,123,387,184,98,282
"SAAVR",264,123,387,184,98,282
"SABD",187,212,399,114,122,236
"SABVL",187,212,399,114,120,234
"SABVR",187,212,399,114,120,234
"RIML",194,212,406,181,191,372
"RIMR",194,212,406,181,191,372
"IL1DL",191,71,262,159,58,217
"IL1DR",191,71,262,159,58,217
"IL1L",191,71,262,159,58,217
"IL1R",191,71,262,159,58,217
"IL1VL",191,71,262,159,58,217
"IL1VR",191,71,262,159,58,217
"SIADL",241,269,510,159,162,321
"SIADR",241,269,510,159,162,321
"SIAVL",241,269,510,176,184,360
"SIAVR",241,269,510,176,184,360
"SIBDL",252,276,528,185,184,369
"SIBDR",252,276,528,185,184,369
"SIBVL",252,276,528,168,164,332
"SIBVR",252,276,528,167,163,330
"RMDDL",179,208,387,165,187,352
"RMDDR",179,208,387,165,187,352
"RMDL",201,200,401,170,161,331
"RMDR",201,200,401,170,161,331
"RMDVL",179,208,387,148,165,313
"RMDVR",179,208,387,148,165,313
"RMED",202,276,478,156,211,367
"RMEL",149,73,222,124,56,180
"RMER",149,73,222,124,56,180
"RMEV",202,276,478,191,252,443
"RMFL",193,214,407,164,171,335
"RMFR",193,214,407,164,171,335
"RMHL",197,212,409,160,169,329
"RMHR",197,212,409,160,169,329
"RIVL",205,114,319,172,91,263
"RIVR",205,114,319,172,91,263
"SMBDL",239,284,523,139,171,310
"SMBDR",239,284,523,139,171,310
"SMBVL",239,284,523,161,192,353
"SMBVR",239,284,523,161,192,353
"SMDDL",239,279,518,158,165,323
"SMDDR",239,279,518,158,165,323
"SMDVL",239,279,518,175,187,362
"SMDVR",239,279,518,175,187,362
"URADL",94,210,304,73,167,240
"URADR",94,210,304,73,167,240
"URAVL",94,210,304,73,167,240
"URAVR",94,210,304,73,167,240
"DA01",215,291,506,146,195,341
"DA02",215,291,506,146,195,341
"DA03",215,291,506,146,195,341
"DA04",215,291,506,146,195,341
"DA05",120,150,270,98,126,224
"DA06",120,150,270,98,126,224
"DA07",120,150,270,98,126,224
"DA08",126,158,284,102,134,236
"DA09",135,158,293,111,134,245
"PDA",136,158,294,63,84,147
"DB01",238,285,523,169,193,362
"DB02",238,287,525,104,126,230
"DB03",126,150,276,104,126,230
"DB04",126,150,276,104,126,230
"DB05",126,150,276,104,126,230
"DB06",126,150,276,104,126,230
"DB07",126,150,276,104,126,230
"AS01",238,291,529,169,195,364
"AS02",238,291,529,169,195,364
"AS03",126,150,276,104,126,230
"AS04",126,150,276,104,126,230
"AS05",126,150,276,104,126,230
"AS06",126,150,276,104,126,230
"AS07",126,150,276,104,126,230
"AS08",126,150,276,104,126,230
"AS09",126,150,276,104,126,230
"AS10",126,150,276,104,126,230
"AS11",132,158,290,108,134,242
"PDB",123,158,281,58,84,142
"DD01",215,95,310,146,54,200
"DD02",120,22,142,98,12,110
"DD03",120,22,142,98,12,110
"DD04",120,22,142,98,12,110
"DD05",120,22,142,98,12,110
"DD06",126,22,148,102,12,114
"VA01",244,291,535,165,191,356
"VA02",244,291,535,165,191,356
"VA03",244,291,535,165,191,356
"VA04",244,291,535,165,191,356
"VA05",126,150,276,99,121,220
"VA06",126,150,276,99,121,220
"VA07",126,150,276,99,121,220
"VA08",126,150,276,99,121,220
"VA09",126,150,276,99,121,220
"VA10",126,150,276,99,121,220
"VA11",126,150,276,99,121,220
"VA12",135,160,295,108,131,239
"VB01",238,289,527,165,191,356
"VB02",240,285,525,165,189,354
"VB03",126,150,276,99,121,220
"VB04",126,150,276,99,121,220
"VB05",126,150,276,99,121,220
"VB06",126,150,276,99,121,220
"VB07",126,150,276,99,121,220
"VB08",126,150,276,99,121,220
"VB09",126,150,276,99,121,220
"VB10",126,150,276,99,121,220
"VB11",126,150,276,99,121,220
"VD01",215,95,310,146,54,200
"VD02",215,95,310,146,54,200
"VD03",120,22,142,98,12,110
"VD04",120,22,142,98,12,110
"VD05",120,22,142,98,12,110
"VD06",120,22,142,98,12,110
"VD07",120,22,142,98,12,110
"VD08",120,22,142,98,12,110
"VD09",120,22,142,98,12,110
"VD10",120,22,142,98,12,110
"VD11",120,22,142,98,12,110
"VD12",126,22,148,102,12,114
"VD13",126,22,148,102,12,114
"HSNL",248,289,537,230,265,495
"HSNR",248,289,537,230,265,495
"VC01",248,183,431,158,119,277
"VC02",248,183,431,158,119,277
"VC03",126,87,213,97,73,170
"VC04",115,77,192,92,65,157
"VC05",115,77,192,92,65,157
"VC06",126,87,213,97,73,170
