Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",150,201,351,11,18,29
"I1R",150,201,351,11,18,29
"I2L",119,10,129,3,6,9
"I2R",119,10,129,3,6,9
"I3",165,86,251,14,12,26
"I4",188,90,278,19,10,29
"I5",174,118,292,14,16,30
"I6",159,55,214,13,7,20
"M1",117,134,251,11,17,28
"M2L",178,28,206,17,10,27
"M2R",178,28,206,17,10,27
"M3L",149,122,271,9,15,24
"M3R",149,122,271,9,15,24
"M4",183,6,189,18,0,18
"M5",134,62,196,17,10,27
"MCL",146,38,184,6,14,20
"MCR",146,38,184,6,14,20
"MI",158,38,196,15,9,24
"NSML",167,85,252,13,4,17
"NSMR",167,85,252,13,4,17
"ADFL",105,153,258,94,133,227
"ADFR",105,153,258,94,133,227
"ADLL",153,164,317,125,130,255
"ADLR",153,164,317,125,130,255
"ASEL",52,107,159,50,97,147
"ASER",126,166,292,118,152,270
"ASGL",165,191,356,159,170,329
"ASGR",165,191,356,159,170,329
"ASHL",172,132,304,161,122,283
"ASHR",172,132,304,161,122,283
"ASIL",117,81,198,114,77,191
"ASIR",117,81,198,114,77,191
"ASJL",99,155,254,93,140,233
"ASJR",99,155,254,93,140,233
"ASKL",162,182,344,151,161,312
"ASKR",162,182,344,151,161,312
"AWAL",152,81,233,146,76,222
"AWAR",152,81,233,146,76,222
"AWBL",115,139,254,106,127,233
"AWBR",115,139,254,106,127,233
"AWCL",91,119,210,88,113,201
"AWCR",91,119,210,88,113,201
"AFDL",50,49,99,45,47,92
"AFDR",50,49,99,45,47,92
"IL2DL",146,151,297,121,113,234
"IL2DR",146,151,297,121,113,234
"IL2L",149,155,304,122,124,246
"IL2R",149,155,304,122,124,246
"IL2VL",146,151,297,121,113,234
"IL2VR",146,151,297,121,113,234
"OLQDL",188,67,255,154,39,193
"OLQDR",188,67,255,154,39,193
"OLQVL",188,67,255,154,39,193
"OLQVR",188,67,255,154,39,193
"OLLL",165,140,305,135,111,246
"OLLR",165,140,305,135,111,246
"CEPDL",115,158,273,95,121,216
"CEPDR",115,158,273,95,121,216
"CEPVL",115,158,273,95,121,216
"CEPVR",115,158,273,95,121,216
"ALML",103,179,282,83,137,220
"ALMR",103,179,282,83,137,220
"AVM",214,197,411,203,174,377
"PVM",110,141,251,89,114,203
"PLML",107,143,250,88,112,200
"PLMR",107,143,250,88,112,200
"ALNL",30,143,173,24,108,132
"ALNR",30,143,173,24,108,132
"PLNL",173,75,248,163,65,228
"PLNR",173,75,248,163,65,228
"FLPL",140,117,257,131,108,239
"FLPR",140,117,257,131,108,239
"PVDL",109,125,234,90,106,196
"PVDR",109,125,234,90,106,196
"BAGL",195,178,373,164,135,299
"BAGR",195,178,373,164,135,299
"URXL",198,210,408,164,167,331
"URXR",198,210,408,164,167,331
"URYDL",137,2,139,109,2,111
"URYDR",137,2,139,109,2,111
"URYVL",137,2,139,109,2,111
"URYVR",137,2,139,109,2,111
"AQR",166,208,374,155,187,342
"PQR",135,148,283,106,124,230
"ADEL",123,69,192,101,62,163
"ADER",123,69,192,101,62,163
"PDEL",117,133,250,90,108,198
"PDER",117,133,250,90,108,198
"PHAL",43,13,56,34,12,46
"PHAR",43,13,56,34,12,46
"PHBL",43,26,69,34,22,56
"PHBR",43,26,69,34,22,56
"PHCL",35,7,42,32,7,39
"PHCR",35,7,42,32,7,39
"SDQL",203,150,353,110,115,225
"SDQR",203,150,353,110,115,225
"URBL",110,201,311,83,161,244
"URBR",110,201,311,83,161,244
"DVA",262,249,511,250,228,478
"AUAL",158,106,264,144,96,240
"AUAR",158,106,264,144,96,240
"AIAL",99,126,225,95,117,212
"AIAR",99,126,225,95,117,212
"AIBL",64,126,190,57,110,167
"AIBR",64,126,190,57,110,167
"AIYL",180,128,308,172,110,282
"AIYR",180,128,308,172,110,282
"AIZL",83,155,238,78,135,213
"AIZR",83,155,238,78,135,213
"ADAL",178,163,341,148,124,272
"ADAR",178,163,341,148,124,272
"AIML",129,172,301,102,130,232
"AIMR",129,172,301,102,130,232
"AINL",96,164,260,92,144,236
"AINR",96,164,260,92,144,236
"ALA",253,268,521,196,200,396
"BDUL",193,231,424,137,151,288
"BDUR",193,231,424,137,151,288
"CANL",102,124,226,2,2,4
"CANR",102,124,226,2,2,4
"RIPL",104,123,227,87,104,191
"RIPR",104,123,227,87,104,191
"RIAL",0,174,174,0,153,153
"RIAR",0,174,174,0,153,153
"RIBL",127,171,298,121,152,273
"RIBR",127,171,298,121,152,273
"RICL",105,197,302,100,176,276
"RICR",105,197,302,100,176,276
"RIFL",163,84,247,156,74,230
"RIFR",163,84,247,156,74,230
"RIGL",122,152,274,120,134,254
"RIGR",122,152,274,120,134,254
"RIH",153,199,352,129,156,285
"RIR",135,166,301,112,128,240
"RIS",157,124,281,144,121,265
"RMGL",133,194,327,122,176,298
"RMGR",133,194,327,122,176,298
"AVFL",52,275,327,47,253,300
"AVFR",52,275,327,47,253,300
"AVG",158,157,315,117,85,202
"AVHL",180,273,453,171,251,422
"AVHR",180,273,453,171,251,422
"AVJL",177,206,383,168,189,357
"AVJR",177,206,383,168,189,357
"AVKL",295,160,455,273,141,414
"AVKR",295,160,455,273,141,414
"AVL",220,55,275,210,53,263
"DVB",11,76,87,8,71,79
"DVC",115,157,272,108,138,246
"PVNL",244,202,446,235,187,422
"PVNR",244,202,446,235,187,422
"PVPL",145,262,407,143,241,384
"PVPR",145,262,407,143,241,384
"PVQL",199,285,484,191,263,454
"PVQR",199,285,484,191,263,454
"PVR",239,285,524,225,263,488
"PVT",208,247,455,201,225,426
"PVWL",118,120,238,94,110,204
"PVWR",118,120,238,94,110,204
"RID",178,266,444,140,217,357
"PVCL",236,237,473,222,215,437
"PVCR",236,237,473,222,215,437
"AVAL",212,214,426,203,191,394
"AVAR",212,214,426,203,191,394
"AVBL",202,136,338,192,115,307
"AVBR",202,136,338,192,115,307
"AVDL",207,270,477,191,246,437
"AVDR",207,270,477,191,246,437
"AVEL",210,237,447,203,218,421
"AVER",210,237,447,203,218,421
"LUAL",44,29,73,33,22,55
"LUAR",44,29,73,33,22,55
"SAADL",150,38,188,126,32,158
"SAADR",150,38,188,126,32,158
"SAAVL",196,44,240,142,34,176
"SAAVR",196,44,240,142,34,176
"SABD",173,185,358,105,100,205
"SABVL",173,185,358,105,98,203
"SABVR",173,185,358,105,98,203
"RIML",174,150,324,164,132,296
"RIMR",174,150,324,164,132,296
"IL1DL",119,4,123,94,4,98
"IL1DR",119,4,123,94,4,98
"IL1L",119,4,123,94,4,98
"IL1R",119,4,123,94,4,98
"IL1VL",119,4,123,94,4,98
"IL1VR",119,4,123,94,4,98
"SIADL",183,233,416,108,131,239
"SIADR",183,233,416,108,131,239
"SIAVL",183,233,416,123,152,275
"SIAVR",183,233,416,123,152,275
"SIBDL",184,162,346,130,91,221
"SIBDR",184,162,346,130,91,221
"SIBVL",184,162,346,114,74,188
"SIBVR",184,162,346,113,73,186
"RMDDL",115,184,299,110,163,273
"RMDDR",115,184,299,110,163,273
"RMDL",145,111,256,122,78,200
"RMDR",145,111,256,122,78,200
"RMDVL",115,184,299,93,141,234
"RMDVR",115,184,299,93,141,234
"RMED",114,152,266,87,102,189
"RMEL",105,61,166,84,46,130
"RMER",105,61,166,84,46,130
"RMEV",114,152,266,112,131,243
"RMFL",165,184,349,139,143,282
"RMFR",165,184,349,139,143,282
"RMHL",130,182,312,102,149,251
"RMHR",130,182,312,102,149,251
"RIVL",165,93,258,140,71,211
"RIVR",165,93,258,140,71,211
"SMBDL",80,181,261,47,92,139
"SMBDR",80,181,261,47,92,139
"SMBVL",80,181,261,50,110,160
"SMBVR",80,181,261,50,110,160
"SMDDL",181,265,446,113,152,265
"SMDDR",181,265,446,113,152,265
"SMDVL",181,265,446,130,174,304
"SMDVR",181,265,446,130,174,304
"URADL",56,142,198,50,104,154
"URADR",56,142,198,50,104,154
"URAVL",56,142,198,50,104,154
"URAVR",56,142,198,50,104,154
"DA01",195,271,466,132,177,309
"DA02",195,271,466,132,177,309
"DA03",195,271,466,132,177,309
"DA04",195,271,466,132,177,309
"DA05",109,143,252,89,123,212
"DA06",109,143,252,89,123,212
"DA07",109,143,252,89,123,212
"DA08",113,151,264,93,131,224
"DA09",133,152,285,109,128,237
"PDA",132,138,270,59,71,130
"DB01",221,275,496,156,183,339
"DB02",221,277,498,95,123,218
"DB03",115,147,262,95,123,218
"DB04",115,147,262,95,123,218
"DB05",115,147,262,95,123,218
"DB06",115,147,262,95,123,218
"DB07",115,147,262,95,123,218
"AS01",192,268,460,143,178,321
"AS02",192,268,460,143,178,321
"AS03",108,142,250,92,122,214
"AS04",108,142,250,92,122,214
"AS05",108,142,250,92,122,214
"AS06",108,142,250,92,122,214
"AS07",108,142,250,92,122,214
"AS08",108,142,250,92,122,214
"AS09",108,142,250,92,122,214
"AS10",108,142,250,92,122,214
"AS11",110,150,260,94,130,224
"PDB",91,149,240,51,81,132
"DD01",190,33,223,127,17,144
"DD02",106,10,116,86,8,94
"DD03",106,10,116,86,8,94
"DD04",106,10,116,86,8,94
"DD05",106,10,116,86,8,94
"DD06",110,10,120,90,8,98
"VA01",232,264,496,157,170,327
"VA02",232,264,496,157,170,327
"VA03",232,264,496,157,170,327
"VA04",232,264,496,157,170,327
"VA05",118,142,260,93,117,210
"VA06",118,142,260,93,117,210
"VA07",118,142,260,93,117,210
"VA08",118,142,260,93,117,210
"VA09",118,142,260,93,117,210
"VA10",118,142,260,93,117,210
"VA11",118,142,260,93,117,210
"VA12",133,150,283,106,121,227
"VB01",192,270,462,141,176,317
"VB02",226,275,501,155,179,334
"VB03",118,147,265,93,118,211
"VB04",118,147,265,93,118,211
"VB05",118,147,265,93,118,211
"VB06",118,147,265,93,118,211
"VB07",118,147,265,93,118,211
"VB08",118,147,265,93,118,211
"VB09",118,147,265,93,118,211
"VB10",118,147,265,93,118,211
"VB11",118,147,265,93,118,211
"VD01",190,33,223,127,17,144
"VD02",190,33,223,127,17,144
"VD03",106,10,116,86,8,94
"VD04",106,10,116,86,8,94
"VD05",106,10,116,86,8,94
"VD06",106,10,116,86,8,94
"VD07",106,10,116,86,8,94
"VD08",106,10,116,86,8,94
"VD09",106,10,116,86,8,94
"VD10",106,10,116,86,8,94
"VD11",106,10,116,86,8,94
"VD12",110,10,120,90,8,98
"VD13",110,10,120,90,8,98
"HSNL",211,271,482,199,247,446
"HSNR",211,271,482,199,247,446
"VC01",178,90,268,119,69,188
"VC02",178,90,268,119,69,188
"VC03",92,60,152,74,54,128
"VC04",70,77,147,65,65,130
"VC05",70,77,147,65,65,130
"VC06",92,60,152,74,54,128
