Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",13,158,171,0,16,16
"I1R",13,158,171,0,16,16
"I2L",0,9,9,0,5,5
"I2R",0,9,9,0,5,5
"I3",81,58,139,12,10,22
"I4",91,54,145,14,10,24
"I5",84,58,142,8,12,20
"I6",62,20,82,9,0,9
"M1",47,67,114,6,13,19
"M2L",105,21,126,11,7,18
"M2R",105,21,126,11,7,18
"M3L",56,40,96,7,10,17
"M3R",56,40,96,7,10,17
"M4",96,0,96,13,0,13
"M5",78,54,132,14,10,24
"MCL",38,25,63,2,7,9
"MCR",38,25,63,2,7,9
"MI",75,2,77,13,0,13
"NSML",68,20,88,12,0,12
"NSMR",68,20,88,12,0,12
"ADFL",23,116,139,19,102,121
"ADFR",23,116,139,19,102,121
"ADLL",60,67,127,47,53,100
"ADLR",60,67,127,47,53,100
"ASEL",14,2,16,14,2,16
"ASER",23,2,25,21,2,23
"ASGL",66,149,215,66,130,196
"ASGR",66,149,215,66,130,196
"ASHL",86,45,131,78,44,122
"ASHR",86,45,131,78,44,122
"ASIL",10,71,81,8,67,75
"ASIR",10,71,81,8,67,75
"ASJL",13,50,63,13,47,60
"ASJR",13,50,63,13,47,60
"ASKL",71,94,165,60,81,141
"ASKR",71,94,165,60,81,141
"AWAL",51,43,94,51,40,91
"AWAR",51,43,94,51,40,91
"AWBL",10,64,74,8,60,68
"AWBR",10,64,74,8,60,68
"AWCL",10,85,95,8,81,89
"AWCR",10,85,95,8,81,89
"AFDL",30,7,37,30,7,37
"AFDR",30,7,37,30,7,37
"IL2DL",65,78,143,52,52,104
"IL2DR",65,78,143,52,52,104
"IL2L",60,117,177,47,97,144
"IL2R",60,117,177,47,97,144
"IL2VL",65,78,143,52,52,104
"IL2VR",65,78,143,52,52,104
"OLQDL",81,3,84,63,3,66
"OLQDR",81,3,84,63,3,66
"OLQVL",81,3,84,63,3,66
"OLQVR",81,3,84,63,3,66
"OLLL",53,68,121,35,46,81
"OLLR",53,68,121,35,46,81
"CEPDL",15,2,17,15,2,17
"CEPDR",15,2,17,15,2,17
"CEPVL",15,2,17,15,2,17
"CEPVR",15,2,17,15,2,17
"ALML",14,94,108,14,68,82
"ALMR",14,94,108,14,68,82
"AVM",70,68,138,68,65,133
"PVM",20,115,135,17,95,112
"PLML",18,105,123,14,79,93
"PLMR",18,105,123,14,79,93
"ALNL",0,4,4,0,4,4
"ALNR",0,4,4,0,4,4
"PLNL",0,38,38,0,33,33
"PLNR",0,38,38,0,33,33
"FLPL",41,6,47,38,4,42
"FLPR",41,6,47,38,4,42
"PVDL",13,74,87,10,68,78
"PVDR",13,74,87,10,68,78
"BAGL",105,62,167,84,57,141
"BAGR",105,62,167,84,57,141
"URXL",85,164,249,69,128,197
"URXR",85,164,249,69,128,197
"URYDL",17,0,17,12,0,12
"URYDR",17,0,17,12,0,12
"URYVL",17,0,17,12,0,12
"URYVR",17,0,17,12,0,12
"AQR",50,143,193,48,133,181
"PQR",94,131,225,78,112,190
"ADEL",40,2,42,35,2,37
"ADER",40,2,42,35,2,37
"PDEL",54,2,56,43,2,45
"PDER",54,2,56,43,2,45
"PHAL",22,2,24,16,2,18
"PHAR",22,2,24,16,2,18
"PHBL",26,12,38,19,10,29
"PHBR",26,12,38,19,10,29
"PHCL",16,2,18,13,2,15
"PHCR",16,2,18,13,2,15
"SDQL",47,18,65,35,12,47
"SDQR",47,18,65,35,12,47
"URBL",62,109,171,43,76,119
"URBR",62,109,171,43,76,119
"DVA",144,149,293,132,138,270
"AUAL",13,2,15,13,2,15
"AUAR",13,2,15,13,2,15
"AIAL",48,71,119,44,65,109
"AIAR",48,71,119,44,65,109
"AIBL",17,61,78,12,49,61
"AIBR",17,61,78,12,49,61
"AIYL",84,59,143,79,47,126
"AIYR",84,59,143,79,47,126
"AIZL",53,81,134,50,67,117
"AIZR",53,81,134,50,67,117
"ADAL",102,35,137,85,35,120
"ADAR",102,35,137,85,35,120
"AIML",35,95,130,33,62,95
"AIMR",35,95,130,33,62,95
"AINL",38,40,78,34,40,74
"AINR",38,40,78,34,40,74
"ALA",164,112,276,120,80,200
"BDUL",45,107,152,33,60,93
"BDUR",45,107,152,33,60,93
"CANL",18,76,94,1,2,3
"CANR",18,76,94,1,2,3
"RIPL",10,57,67,10,41,51
"RIPR",10,57,67,10,41,51
"RIAL",0,51,51,0,48,48
"RIAR",0,51,51,0,48,48
"RIBL",73,68,141,68,62,130
"RIBR",73,68,141,68,62,130
"RICL",41,59,100,38,47,85
"RICR",41,59,100,38,47,85
"RIFL",33,5,38,28,5,33
"RIFR",33,5,38,28,5,33
"RIGL",37,109,146,36,91,127
"RIGR",37,109,146,36,91,127
"RIH",76,156,232,60,118,178
"RIR",47,133,180,45,98,143
"RIS",98,64,162,90,63,153
"RMGL",12,93,105,12,83,95
"RMGR",12,93,105,12,83,95
"AVFL",37,156,193,37,145,182
"AVFR",37,156,193,37,145,182
"AVG",0,6,6,0,4,4
"AVHL",33,92,125,29,90,119
"AVHR",33,92,125,29,90,119
"AVJL",86,35,121,77,26,103
"AVJR",86,35,121,77,26,103
"AVKL",273,30,303,252,30,282
"AVKR",273,30,303,252,30,282
"AVL",92,52,144,90,51,141
"DVB",8,42,50,6,37,43
"DVC",55,0,55,53,0,53
"PVNL",111,134,245,106,124,230
"PVNR",111,134,245,106,124,230
"PVPL",25,100,125,23,94,117
"PVPR",25,100,125,23,94,117
"PVQL",96,184,280,92,177,269
"PVQR",96,184,280,92,177,269
"PVR",149,196,345,140,187,327
"PVT",30,103,133,25,96,121
"PVWL",71,76,147,59,69,128
"PVWR",71,76,147,59,69,128
"RID",33,91,124,29,59,88
"PVCL",132,4,136,121,4,125
"PVCR",132,4,136,121,4,125
"AVAL",103,59,162,100,59,159
"AVAR",103,59,162,100,59,159
"AVBL",80,11,91,77,11,88
"AVBR",80,11,91,77,11,88
"AVDL",112,183,295,101,171,272
"AVDR",112,183,295,101,171,272
"AVEL",69,101,170,68,90,158
"AVER",69,101,170,68,90,158
"LUAL",25,7,32,19,4,23
"LUAR",25,7,32,19,4,23
"SAADL",39,32,71,34,27,61
"SAADR",39,32,71,34,27,61
"SAAVL",46,37,83,35,29,64
"SAAVR",46,37,83,35,29,64
"SABD",107,60,167,70,32,102
"SABVL",107,60,167,70,32,102
"SABVR",107,60,167,70,32,102
"RIML",93,31,124,87,30,117
"RIMR",93,31,124,87,30,117
"IL1DL",48,0,48,27,0,27
"IL1DR",48,0,48,27,0,27
"IL1L",48,0,48,27,0,27
"IL1R",48,0,48,27,0,27
"IL1VL",48,0,48,27,0,27
"IL1VR",48,0,48,27,0,27
"SIADL",45,4,49,33,4,37
"SIADR",45,4,49,33,4,37
"SIAVL",45,4,49,33,4,37
"SIAVR",45,4,49,33,4,37
"SIBDL",80,2,82,44,2,46
"SIBDR",80,2,82,44,2,46
"SIBVL",80,2,82,34,2,36
"SIBVR",80,2,82,33,2,35
"RMDDL",47,57,104,44,45,89
"RMDDR",47,57,104,44,45,89
"RMDL",47,96,143,32,63,95
"RMDR",47,96,143,32,63,95
"RMDVL",47,57,104,42,32,74
"RMDVR",47,57,104,42,32,74
"RMED",0,7,7,0,7,7
"RMEL",0,0,0,0,0,0
"RMER",0,0,0,0,0,0
"RMEV",0,7,7,0,7,7
"RMFL",81,12,93,62,12,74
"RMFR",81,12,93,62,12,74
"RMHL",13,18,31,13,13,26
"RMHR",13,18,31,13,13,26
"RIVL",77,0,77,61,0,61
"RIVR",77,0,77,61,0,61
"SMBDL",0,43,43,0,33,33
"SMBDR",0,43,43,0,33,33
"SMBVL",0,43,43,0,35,35
"SMBVR",0,43,43,0,35,35
"SMDDL",64,144,208,41,60,101
"SMDDR",64,144,208,41,60,101
"SMDVL",64,144,208,43,78,121
"SMDVR",64,144,208,43,78,121
"URADL",11,2,13,11,2,13
"URADR",11,2,13,11,2,13
"URAVL",11,2,13,11,2,13
"URAVR",11,2,13,11,2,13
"DA01",106,138,244,73,90,163
"DA02",106,138,244,73,90,163
"DA03",106,138,244,73,90,163
"DA04",106,138,244,73,90,163
"DA05",55,78,133,47,74,121
"DA06",55,78,133,47,74,121
"DA07",55,78,133,47,74,121
"DA08",55,84,139,47,80,127
"DA09",70,102,172,66,92,158
"PDA",66,89,155,33,42,75
"DB01",131,180,311,102,125,227
"DB02",131,178,309,65,95,160
"DB03",73,103,176,65,95,160
"DB04",73,103,176,65,95,160
"DB05",73,103,176,65,95,160
"DB06",73,103,176,65,95,160
"DB07",73,103,176,65,95,160
"AS01",15,19,34,11,11,22
"AS02",15,19,34,11,11,22
"AS03",7,11,18,7,11,18
"AS04",7,11,18,7,11,18
"AS05",7,11,18,7,11,18
"AS06",7,11,18,7,11,18
"AS07",7,11,18,7,11,18
"AS08",7,11,18,7,11,18
"AS09",7,11,18,7,11,18
"AS10",7,11,18,7,11,18
"AS11",7,11,18,7,11,18
"PDB",7,79,86,3,40,43
"DD01",65,2,67,41,2,43
"DD02",36,2,38,32,2,34
"DD03",36,2,38,32,2,34
"DD04",36,2,38,32,2,34
"DD05",36,2,38,32,2,34
"DD06",36,2,38,32,2,34
"VA01",126,90,216,84,54,138
"VA02",126,90,216,84,54,138
"VA03",126,90,216,84,54,138
"VA04",126,90,216,84,54,138
"VA05",63,47,110,51,41,92
"VA06",63,47,110,51,41,92
"VA07",63,47,110,51,41,92
"VA08",63,47,110,51,41,92
"VA09",63,47,110,51,41,92
"VA10",63,47,110,51,41,92
"VA11",63,47,110,51,41,92
"VA12",76,80,156,69,75,144
"VB01",90,51,141,78,28,106
"VB02",141,109,250,106,83,189
"VB03",76,103,179,65,93,158
"VB04",76,103,179,65,93,158
"VB05",76,103,179,65,93,158
"VB06",76,103,179,65,93,158
"VB07",76,103,179,65,93,158
"VB08",76,103,179,65,93,158
"VB09",76,103,179,65,93,158
"VB10",76,103,179,65,93,158
"VB11",76,103,179,65,93,158
"VD01",65,2,67,41,2,43
"VD02",65,2,67,41,2,43
"VD03",36,2,38,32,2,34
"VD04",36,2,38,32,2,34
"VD05",36,2,38,32,2,34
"VD06",36,2,38,32,2,34
"VD07",36,2,38,32,2,34
"VD08",36,2,38,32,2,34
"VD09",36,2,38,32,2,34
"VD10",36,2,38,32,2,34
"VD11",36,2,38,32,2,34
"VD12",36,2,38,32,2,34
"VD13",36,2,38,32,2,34
"HSNL",156,106,262,144,90,234
"HSNR",156,106,262,144,90,234
"VC01",141,2,143,101,2,103
"VC02",141,2,143,101,2,103
"VC03",80,2,82,66,2,68
"VC04",64,19,83,63,12,75
"VC05",64,19,83,63,12,75
"VC06",80,2,82,66,2,68
