Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"I1L",120,181,301,3,16,19
"I1R",120,181,301,3,16,19
"I2L",98,9,107,1,5,6
"I2R",98,9,107,1,5,6
"I3",134,74,208,12,10,22
"I4",118,56,174,14,10,24
"I5",125,79,204,8,16,24
"I6",105,20,125,9,0,9
"M1",93,100,193,6,17,23
"M2L",147,21,168,12,7,19
"M2R",147,21,168,12,7,19
"M3L",101,40,141,7,10,17
"M3R",101,40,141,7,10,17
"M4",143,6,149,14,0,14
"M5",80,54,134,14,10,24
"MCL",73,29,102,4,7,11
"MCR",73,29,102,4,7,11
"MI",118,32,150,13,9,22
"NSML",150,45,195,13,0,13
"NSMR",150,45,195,13,0,13
"ADFL",94,118,212,88,104,192
"ADFR",94,118,212,88,104,192
"ADLL",110,111,221,83,88,171
"ADLR",110,111,221,83,88,171
"ASEL",14,32,46,14,23,37
"ASER",23,79,102,21,66,87
"ASGL",136,163,299,133,144,277
"ASGR",136,163,299,133,144,277
"ASHL",126,112,238,117,102,219
"ASHR",126,112,238,117,102,219
"ASIL",73,71,144,70,67,137
"ASIR",73,71,144,70,67,137
"ASJL",81,123,204,78,109,187
"ASJR",81,123,204,78,109,187
"ASKL",121,110,231,110,95,205
"ASKR",121,110,231,110,95,205
"AWAL",122,43,165,119,40,159
"AWAR",122,43,165,119,40,159
"AWBL",56,112,168,50,101,151
"AWBR",56,112,168,50,101,151
"AWCL",73,101,174,70,95,165
"AWCR",73,101,174,70,95,165
"AFDL",35,37,72,35,35,70
"AFDR",35,37,72,35,35,70
"IL2DL",102,82,184,78,56,134
"IL2DR",102,82,184,78,56,134
"IL2L",102,126,228,83,105,188
"IL2R",102,126,228,83,105,188
"IL2VL",102,82,184,78,56,134
"IL2VR",102,82,184,78,56,134
"OLQDL",147,7,154,121,7,128
"OLQDR",147,7,154,121,7,128
"OLQVL",147,7,154,121,7,128
"OLQVR",147,7,154,121,7,128
"OLLL",85,108,193,65,85,150
"OLLR",85,108,193,65,85,150
"CEPDL",92,2,94,73,2,75
"CEPDR",92,2,94,73,2,75
"CEPVL",92,2,94,73,2,75
"CEPVR",92,2,94,73,2,75
"ALML",14,172,186,14,134,148
"ALMR",14,172,186,14,134,148
"AVM",164,163,327,158,142,300
"PVM",97,126,223,84,101,185
"PLML",93,118,211,79,87,166
"PLMR",93,118,211,79,87,166
"ALNL",18,4,22,15,4,19
"ALNR",18,4,22,15,4,19
"PLNL",118,38,156,115,33,148
"PLNR",118,38,156,115,33,148
"FLPL",113,60,173,107,56,163
"FLPR",113,60,173,107,56,163
"PVDL",96,84,180,84,73,157
"PVDR",96,84,180,84,73,157
"BAGL",157,138,295,130,113,243
"BAGR",157,138,295,130,113,243
"URXL",168,197,365,139,154,293
"URXR",168,197,365,139,154,293
"URYDL",110,0,110,84,0,84
"URYDR",110,0,110,84,0,84
"URYVL",110,0,110,84,0,84
"URYVR",110,0,110,84,0,84
"AQR",141,170,311,131,152,283
"PQR",111,144,255,92,120,212
"ADEL",100,9,109,79,9,88
"ADER",100,9,109,79,9,88
"PDEL",61,4,65,46,4,50
"PDER",61,4,65,46,4,50
"PHAL",35,2,37,28,2,30
"PHAR",35,2,37,28,2,30
"PHBL",33,12,45,26,10,36
"PHBR",33,12,45,26,10,36
"PHCL",16,2,18,13,2,15
"PHCR",16,2,18,13,2,15
"SDQL",151,131,282,86,100,186
"SDQR",151,131,282,86,100,186
"URBL",69,183,252,50,143,193
"URBR",69,183,252,50,143,193
"DVA",199,232,431,187,211,398
"AUAL",101,84,185,92,74,166
"AUAR",101,84,185,92,74,166
"AIAL",78,75,153,74,69,143
"AIAR",78,75,153,74,69,143
"AIBL",43,98,141,36,82,118
"AIBR",43,98,141,36,82,118
"AIYL",126,116,242,119,98,217
"AIYR",126,116,242,119,98,217
"AIZL",53,140,193,50,120,170
"AIZR",53,140,193,50,120,170
"ADAL",138,117,255,109,96,205
"ADAR",138,117,255,109,96,205
"AIML",105,136,241,82,98,180
"AIMR",105,136,241,82,98,180
"AINL",68,127,195,64,114,178
"AINR",68,127,195,64,114,178
"ALA",207,203,410,157,152,309
"BDUL",161,176,337,112,121,233
"BDUR",161,176,337,112,121,233
"CANL",92,113,205,2,2,4
"CANR",92,113,205,2,2,4
"RIPL",10,60,70,10,44,54
"RIPR",10,60,70,10,44,54
"RIAL",0,138,138,0,120,120
"RIAR",0,138,138,0,120,120
"RIBL",92,149,241,86,132,218
"RIBR",92,149,241,86,132,218
"RICL",88,129,217,85,110,195
"RICR",88,129,217,85,110,195
"RIFL",90,35,125,84,26,110
"RIFR",90,35,125,84,26,110
"RIGL",73,129,202,72,111,183
"RIGR",73,129,202,72,111,183
"RIH",116,180,296,98,139,237
"RIR",108,154,262,89,118,207
"RIS",119,112,231,111,109,220
"RMGL",118,105,223,110,95,205
"RMGR",118,105,223,110,95,205
"AVFL",37,220,257,37,200,237
"AVFR",37,220,257,37,200,237
"AVG",140,43,183,106,29,135
"AVHL",152,169,321,146,158,304
"AVHR",152,169,321,146,158,304
"AVJL",111,35,146,102,26,128
"AVJR",111,35,146,102,26,128
"AVKL",274,140,414,252,123,375
"AVKR",274,140,414,252,123,375
"AVL",181,52,233,177,51,228
"DVB",8,42,50,6,37,43
"DVC",91,3,94,86,3,89
"PVNL",158,154,312,151,139,290
"PVNR",158,154,312,151,139,290
"PVPL",117,198,315,115,177,292
"PVPR",117,198,315,115,177,292
"PVQL",176,234,410,171,215,386
"PVQR",176,234,410,171,215,386
"PVR",202,252,454,191,230,421
"PVT",156,212,368,150,192,342
"PVWL",85,83,168,73,75,148
"PVWR",85,83,168,73,75,148
"RID",127,207,334,100,160,260
"PVCL",155,169,324,142,148,290
"PVCR",155,169,324,142,148,290
"AVAL",143,156,299,138,137,275
"AVAR",143,156,299,138,137,275
"AVBL",143,115,258,135,96,231
"AVBR",143,115,258,135,96,231
"AVDL",138,244,382,125,222,347
"AVDR",138,244,382,125,222,347
"AVEL",162,125,287,159,110,269
"AVER",162,125,287,159,110,269
"LUAL",34,13,47,27,6,33
"LUAR",34,13,47,27,6,33
"SAADL",127,32,159,106,27,133
"SAADR",127,32,159,106,27,133
"SAAVL",171,37,208,122,29,151
"SAAVR",171,37,208,122,29,151
"SABD",133,171,304,84,92,176
"SABVL",133,171,304,84,90,174
"SABVR",133,171,304,84,90,174
"RIML",135,126,261,128,110,238
"RIMR",135,126,261,128,110,238
"IL1DL",48,0,48,27,0,27
"IL1DR",48,0,48,27,0,27
"IL1L",48,0,48,27,0,27
"IL1R",48,0,48,27,0,27
"IL1VL",48,0,48,27,0,27
"IL1VR",48,0,48,27,0,27
"SIADL",105,68,173,58,42,100
"SIADR",105,68,173,58,42,100
"SIAVL",105,68,173,67,48,115
"SIAVR",105,68,173,67,48,115
"SIBDL",122,2,124,80,2,82
"SIBDR",122,2,124,80,2,82
"SIBVL",122,2,124,68,2,70
"SIBVR",122,2,124,67,2,69
"RMDDL",47,130,177,44,111,155
"RMDDR",47,130,177,44,111,155
"RMDL",98,100,198,80,67,147
"RMDR",98,100,198,80,67,147
"RMDVL",47,130,177,42,97,139
"RMDVR",47,130,177,42,97,139
"RMED",101,113,214,76,88,164
"RMEL",0,4,4,0,4,4
"RMER",0,4,4,0,4,4
"RMEV",101,113,214,100,94,194
"RMFL",118,72,190,96,61,157
"RMFR",118,72,190,96,61,157
"RMHL",112,122,234,87,101,188
"RMHR",112,122,234,87,101,188
"RIVL",135,19,154,114,19,133
"RIVR",135,19,154,114,19,133
"SMBDL",58,73,131,31,58,89
"SMBDR",58,73,131,31,58,89
"SMBVL",58,73,131,34,60,94
"SMBVR",58,73,131,34,60,94
"SMDDL",131,216,347,72,119,191
"SMDDR",131,216,347,72,119,191
"SMDVL",131,216,347,88,138,226
"SMDVR",131,216,347,88,138,226
"URADL",44,92,136,39,74,113
"URADR",44,92,136,39,74,113
"URAVL",44,92,136,39,74,113
"URAVR",44,92,136,39,74,113
"DA01",106,245,351,73,161,234
"DA02",106,245,351,73,161,234
"DA03",106,245,351,73,161,234
"DA04",106,245,351,73,161,234
"DA05",55,132,187,47,112,159
"DA06",55,132,187,47,112,159
"DA07",55,132,187,47,112,159
"DA08",55,138,193,47,118,165
"DA09",113,131,244,95,107,202
"PDA",110,89,199,51,42,93
"DB01",161,257,418,120,171,291
"DB02",161,249,410,71,112,183
"DB03",83,136,219,71,112,183
"DB04",83,136,219,71,112,183
"DB05",83,136,219,71,112,183
"DB06",83,136,219,71,112,183
"DB07",83,136,219,71,112,183
"AS01",15,143,158,11,75,86
"AS02",15,143,158,11,75,86
"AS03",7,52,59,7,40,47
"AS04",7,52,59,7,40,47
"AS05",7,52,59,7,40,47
"AS06",7,52,59,7,40,47
"AS07",7,52,59,7,40,47
"AS08",7,52,59,7,40,47
"AS09",7,52,59,7,40,47
"AS10",7,52,59,7,40,47
"AS11",7,58,65,7,46,53
"PDB",81,136,217,43,68,111
"DD01",99,26,125,64,14,78
"DD02",51,5,56,45,5,50
"DD03",51,5,56,45,5,50
"DD04",51,5,56,45,5,50
"DD05",51,5,56,45,5,50
"DD06",51,5,56,45,5,50
"VA01",126,180,306,84,102,186
"VA02",126,180,306,84,102,186
"VA03",126,180,306,84,102,186
"VA04",126,180,306,84,102,186
"VA05",63,79,142,51,59,110
"VA06",63,79,142,51,59,110
"VA07",63,79,142,51,59,110
"VA08",63,79,142,51,59,110
"VA09",63,79,142,51,59,110
"VA10",63,79,142,51,59,110
"VA11",63,79,142,51,59,110
"VA12",115,106,221,94,84,178
"VB01",130,159,289,101,85,186
"VB02",169,225,394,122,144,266
"VB03",86,136,222,71,107,178
"VB04",86,136,222,71,107,178
"VB05",86,136,222,71,107,178
"VB06",86,136,222,71,107,178
"VB07",86,136,222,71,107,178
"VB08",86,136,222,71,107,178
"VB09",86,136,222,71,107,178
"VB10",86,136,222,71,107,178
"VB11",86,136,222,71,107,178
"VD01",99,26,125,64,14,78
"VD02",99,26,125,64,14,78
"VD03",51,5,56,45,5,50
"VD04",51,5,56,45,5,50
"VD05",51,5,56,45,5,50
"VD06",51,5,56,45,5,50
"VD07",51,5,56,45,5,50
"VD08",51,5,56,45,5,50
"VD09",51,5,56,45,5,50
"VD10",51,5,56,45,5,50
"VD11",51,5,56,45,5,50
"VD12",51,5,56,45,5,50
"VD13",51,5,56,45,5,50
"HSNL",185,194,379,173,172,345
"HSNR",185,194,379,173,172,345
"VC01",141,66,207,101,45,146
"VC02",141,66,207,101,45,146
"VC03",80,38,118,66,32,98
"VC04",64,51,115,63,39,102
"VC05",64,51,115,63,39,102
"VC06",80,38,118,66,32,98
